NIK,PK,COMPETENCY,LEARNING POINT,Kerja Ibadah,Apresiasi,Lebih cepat,Aktif bersama
0.93,0.8916576381365116,0.3762376237623766,0.0,0.27290575916230375,0.25,0.5555555555555556,0.8002560819462226
0.991,0.9729144095341279,1.0,1.0,0.8180628272251308,1.0,1.0,1.0
0.906,0.9479956663055256,0.5594059405940595,0.0,0.8180628272251308,0.75,1.0,1.0
1.0,0.9653304442036837,0.24257425742574285,1.0,0.5458115183246075,0.5,0.4444444444444444,0.19974391805377745
1.0,0.9555796316359697,0.0,1.0,0.5458115183246075,0.6251999999999999,0.1111111111111111,0.0
1.0,0.980498374864572,0.3960396039603965,1.0,0.6819371727748692,1.0,0.6666666666666666,0.8002560819462226
0.984,1.0,0.955445544554456,0.0,0.5458115183246075,0.0,0.7777777777777778,0.19974391805377745
0.0,0.0,0.3267326732673271,0.0,0.1367801047120421,0.1251999999999998,0.1111111111111111,0.0
0.0,0.0,0.25247524752475276,0.0,0.0,0.0,0.0,0.19974391805377745
0.983,0.9685807150595884,0.5495049504950495,1.0,1.0,0.8331999999999999,0.7777777777777778,0.4667093469910374
